start,middle,end,folding_energy_potential
0,50.0,100,-170.5
1,51.0,101,-170.5
2,52.0,102,-170.5
3,53.0,103,-170.0
4,54.0,104,-170.5
5,55.0,105,-170.5
6,56.0,106,-175.0
7,57.0,107,-175.0
8,58.0,108,-175.0
9,59.0,109,-170.0
10,60.0,110,-170.0
11,61.0,111,-170.0
12,62.0,112,-170.0
13,63.0,113,-165.5
14,64.0,114,-166.0
15,65.0,115,-170.0
16,66.0,116,-170.0
17,67.0,117,-170.0
18,68.0,118,-170.0
19,69.0,119,-170.0
20,70.0,120,-170.5
21,71.0,121,-170.5
22,72.0,122,-170.0
23,73.0,123,-170.0
24,74.0,124,-170.0
25,75.0,125,-165.0
26,76.0,126,-165.0
27,77.0,127,-170.0
28,78.0,128,-170.5
29,79.0,129,-170.5
30,80.0,130,-175.0
31,81.0,131,-175.0
32,82.0,132,-175.5
33,83.0,133,-180.0
34,84.0,134,-175.5
35,85.0,135,-175.5
36,86.0,136,-180.0
37,87.0,137,-180.0
38,88.0,138,-180.0
39,89.0,139,-179.5
40,90.0,140,-179.5
41,91.0,141,-175.5
42,92.0,142,-175.5
43,93.0,143,-175.5
44,94.0,144,-180.0
45,95.0,145,-179.5
46,96.0,146,-180.0
47,97.0,147,-180.0
48,98.0,148,-180.0
49,99.0,149,-180.0
50,100.0,150,-180.0
51,101.0,151,-175.5
52,102.0,152,-175.5
53,103.0,153,-175.5
54,104.0,154,-175.5
55,105.0,155,-175.5
56,106.0,156,-175.5
57,107.0,157,-175.0
58,108.0,158,-180.0
59,109.0,159,-180.0
60,110.0,160,-185.0
61,111.0,161,-185.0
62,112.0,162,-180.0
63,113.0,163,-175.5
64,114.0,164,-180.0
65,115.0,165,-180.5
66,116.0,166,-180.0
67,117.0,167,-180.0
68,118.0,168,-185.0
69,119.0,169,-185.0
70,120.0,170,-185.0
71,121.0,171,-180.0
72,122.0,172,-180.0
73,123.0,173,-180.0
74,124.0,174,-180.0
75,125.0,175,-185.0
76,126.0,176,-185.0
77,127.0,177,-180.0
78,128.0,178,-180.0
79,129.0,179,-185.0
80,130.0,180,-180.5
81,131.0,181,-185.0
82,132.0,182,-185.0
83,133.0,183,-180.5
84,134.0,184,-185.0
85,135.0,185,-185.0
86,136.0,186,-180.5
87,137.0,187,-180.0
88,138.0,188,-180.0
89,139.0,189,-180.0
90,140.0,190,-180.5
91,141.0,191,-175.5
92,142.0,192,-180.5
93,143.0,193,-180.5
94,144.0,194,-175.5
95,145.0,195,-175.5
96,146.0,196,-180.5
97,147.0,197,-180.5
98,148.0,198,-180.5
99,149.0,199,-180.5
100,150.0,200,-180.5
101,151.0,201,-180.5
102,152.0,202,-180.5
103,153.0,203,-180.5
104,154.0,204,-180.5
105,155.0,205,-180.5
106,156.0,206,-180.5
107,157.0,207,-180.5
108,158.0,208,-180.0
109,159.0,209,-180.0
110,160.0,210,-180.5
111,161.0,211,-180.5
112,162.0,212,-180.5
113,163.0,213,-180.5
114,164.0,214,-180.0
115,165.0,215,-180.5
116,166.0,216,-180.5
117,167.0,217,-180.5
118,168.0,218,-180.5
119,169.0,219,-185.0
120,170.0,220,-185.0
121,171.0,221,-185.0
122,172.0,222,-180.0
123,173.0,223,-185.0
124,174.0,224,-181.0
125,175.0,225,-181.0
126,176.0,226,-181.0
127,177.0,227,-181.0
128,178.0,228,-180.0
129,179.0,229,-180.0
130,180.0,230,-180.0
131,181.0,231,-175.5
132,182.0,232,-175.0
133,183.0,233,-175.0
134,184.0,234,-176.0
135,185.0,235,-176.0
136,186.0,236,-180.0
137,187.0,237,-180.0
138,188.0,238,-185.0
139,189.0,239,-180.0
140,190.0,240,-180.0
141,191.0,241,-180.0
142,192.0,242,-180.5
143,193.0,243,-180.0
144,194.0,244,-180.0
145,195.0,245,-176.0
146,196.0,246,-180.0
147,197.0,247,-180.0
148,198.0,248,-180.0
149,199.0,249,-180.0
150,200.0,250,-181.0
151,201.0,251,-185.0
152,202.0,252,-185.0
153,203.0,253,-185.0
154,204.0,254,-185.5
155,205.0,255,-180.5
156,206.0,256,-180.0
157,207.0,257,-185.0
158,208.0,258,-181.0
159,209.0,259,-180.0
160,210.0,260,-180.0
161,211.0,261,-181.0
162,212.0,262,-185.0
163,213.0,263,-185.0
164,214.0,264,-185.0
165,215.0,265,-185.0
166,216.0,266,-185.0
167,217.0,267,-185.0
168,218.0,268,-185.0
169,219.0,269,-190.0
170,220.0,270,-190.0
171,221.0,271,-190.0
172,222.0,272,-185.5
173,223.0,273,-180.5
174,224.0,274,-180.5
175,225.0,275,-180.5
176,226.0,276,-180.5
177,227.0,277,-180.5
178,228.0,278,-180.5
179,229.0,279,-180.5
180,230.0,280,-180.5
181,231.0,281,-180.5
182,232.0,282,-180.5
183,233.0,283,-185.0
184,234.0,284,-185.0
185,235.0,285,-185.0
186,236.0,286,-185.0
187,237.0,287,-185.0
188,238.0,288,-180.5
189,239.0,289,-180.5
190,240.0,290,-180.5
191,241.0,291,-176.0
192,242.0,292,-180.0
193,243.0,293,-180.0
194,244.0,294,-175.5
195,245.0,295,-180.0
196,246.0,296,-180.0
197,247.0,297,-180.0
198,248.0,298,-180.5
199,249.0,299,-180.5
200,250.0,300,-175.5
201,251.0,301,-175.5
202,252.0,302,-170.5
203,253.0,303,-175.0
204,254.0,304,-170.5
205,255.0,305,-171.0
206,256.0,306,-175.0
207,257.0,307,-175.0
208,258.0,308,-170.5
209,259.0,309,-170.5
210,260.0,310,-170.5
211,261.0,311,-166.5
212,262.0,312,-166.5
213,263.0,313,-165.5
214,264.0,314,-165.5
215,265.0,315,-165.5
216,266.0,316,-170.0
217,267.0,317,-170.5
218,268.0,318,-170.5
219,269.0,319,-170.5
220,270.0,320,-170.5
221,271.0,321,-170.5
222,272.0,322,-175.5
223,273.0,323,-175.5
224,274.0,324,-175.5
225,275.0,325,-175.5
226,276.0,326,-180.5
227,277.0,327,-180.5
228,278.0,328,-175.5
229,279.0,329,-175.5
230,280.0,330,-175.5
231,281.0,331,-175.5
232,282.0,332,-175.5
233,283.0,333,-175.5
234,284.0,334,-180.0
235,285.0,335,-180.0
236,286.0,336,-175.5
237,287.0,337,-175.5
238,288.0,338,-180.0
239,289.0,339,-180.5
240,290.0,340,-180.5
241,291.0,341,-180.5
242,292.0,342,-175.5
243,293.0,343,-180.0
244,294.0,344,-180.0
245,295.0,345,-180.0
246,296.0,346,-176.0
247,297.0,347,-175.0
248,298.0,348,-180.0
249,299.0,349,-175.0
250,300.0,350,-175.0
251,301.0,351,-175.0
252,302.0,352,-175.0
253,303.0,353,-175.0
254,304.0,354,-175.0
255,305.0,355,-175.5
256,306.0,356,-175.5
257,307.0,357,-180.0
258,308.0,358,-180.0
259,309.0,359,-180.0
260,310.0,360,-180.0
261,311.0,361,-180.0
262,312.0,362,-180.0
263,313.0,363,-180.0
264,314.0,364,-180.0
265,315.0,365,-180.0
266,316.0,366,-175.5
267,317.0,367,-176.0
268,318.0,368,-175.5
269,319.0,369,-175.5
270,320.0,370,-180.0
271,321.0,371,-180.0
272,322.0,372,-180.0
273,323.0,373,-180.0
274,324.0,374,-180.0
275,325.0,375,-180.0
276,326.0,376,-180.5
277,327.0,377,-180.0
278,328.0,378,-180.5
279,329.0,379,-180.0
280,330.0,380,-180.0
281,331.0,381,-180.0
282,332.0,382,-180.0
283,333.0,383,-180.0
284,334.0,384,-180.0
285,335.0,385,-180.0
286,336.0,386,-180.0
287,337.0,387,-176.0
288,338.0,388,-180.0
289,339.0,389,-180.0
290,340.0,390,-180.0
291,341.0,391,-176.0
292,342.0,392,-176.0
293,343.0,393,-180.0
294,344.0,394,-181.0
295,345.0,395,-181.0
296,346.0,396,-181.0
297,347.0,397,-181.0
298,348.0,398,-181.0
299,349.0,399,-181.0
300,350.0,400,-181.0
301,351.0,401,-181.0
302,352.0,402,-181.0
303,353.0,403,-180.0
304,354.0,404,-180.5
305,355.0,405,-180.0
306,356.0,406,-180.5
307,357.0,407,-180.5
308,358.0,408,-181.0
309,359.0,409,-185.0
310,360.0,410,-185.0
311,361.0,411,-185.5
312,362.0,412,-185.5
313,363.0,413,-185.5
314,364.0,414,-190.5
315,365.0,415,-185.5
316,366.0,416,-185.5
317,367.0,417,-190.5
318,368.0,418,-190.5
319,369.0,419,-190.5
320,370.0,420,-190.5
321,371.0,421,-190.5
322,372.0,422,-190.5
323,373.0,423,-190.5
324,374.0,424,-190.5
325,375.0,425,-195.5
326,376.0,426,-195.5
327,377.0,427,-195.5
328,378.0,428,-190.5
329,379.0,429,-185.5
330,380.0,430,-185.5
331,381.0,431,-185.5
332,382.0,432,-185.5
333,383.0,433,-185.5
334,384.0,434,-185.5
335,385.0,435,-185.5
336,386.0,436,-185.5
337,387.0,437,-180.5
338,388.0,438,-180.5
339,389.0,439,-180.5
340,390.0,440,-180.5
341,391.0,441,-180.5
342,392.0,442,-180.5
343,393.0,443,-180.5
344,394.0,444,-180.5
345,395.0,445,-180.5
346,396.0,446,-180.5
347,397.0,447,-185.0
348,398.0,448,-185.0
349,399.0,449,-185.0
350,400.0,450,-181.0
351,401.0,451,-185.0
352,402.0,452,-180.5
353,403.0,453,-180.5
354,404.0,454,-185.0
355,405.0,455,-180.5
356,406.0,456,-180.5
357,407.0,457,-180.5
358,408.0,458,-180.5
359,409.0,459,-180.5
360,410.0,460,-180.5
361,411.0,461,-175.5
362,412.0,462,-175.5
363,413.0,463,-180.0
364,414.0,464,-180.0
365,415.0,465,-180.0
366,416.0,466,-176.0
367,417.0,467,-180.0
368,418.0,468,-180.5
369,419.0,469,-180.5
370,420.0,470,-180.5
371,421.0,471,-180.5
372,422.0,472,-180.5
373,423.0,473,-180.0
374,424.0,474,-180.0
375,425.0,475,-180.0
376,426.0,476,-180.0
377,427.0,477,-180.0
378,428.0,478,-175.0
379,429.0,479,-180.0
380,430.0,480,-180.0
381,431.0,481,-175.0
382,432.0,482,-175.5
383,433.0,483,-176.0
384,434.0,484,-180.0
385,435.0,485,-180.0
386,436.0,486,-176.0
387,437.0,487,-176.0
388,438.0,488,-180.0
389,439.0,489,-180.0
390,440.0,490,-180.0
391,441.0,491,-185.0
392,442.0,492,-180.0
393,443.0,493,-180.0
394,444.0,494,-180.0
395,445.0,495,-180.0
396,446.0,496,-180.0
397,447.0,497,-180.0
398,448.0,498,-180.0
399,449.0,499,-180.0
400,450.0,500,-180.0
401,451.0,501,-180.0
402,452.0,502,-175.5
403,453.0,503,-175.0
404,454.0,504,-175.0
405,455.0,505,-180.0
406,456.0,506,-180.0
407,457.0,507,-175.0
408,458.0,508,-175.0
409,459.0,509,-175.5
410,460.0,510,-175.5
411,461.0,511,-180.0
412,462.0,512,-180.0
413,463.0,513,-175.0
414,464.0,514,-180.0
415,465.0,515,-180.5
416,466.0,516,-175.5
417,467.0,517,-180.0
418,468.0,518,-180.0
419,469.0,519,-175.0
420,470.0,520,-180.0
421,471.0,521,-180.0
422,472.0,522,-180.0
423,473.0,523,-180.0
424,474.0,524,-180.0
425,475.0,525,-185.0
426,476.0,526,-180.0
427,477.0,527,-185.0
428,478.0,528,-185.0
429,479.0,529,-185.0
430,480.0,530,-185.0
431,481.0,531,-185.0
432,482.0,532,-180.0
433,483.0,533,-180.5
434,484.0,534,-180.0
435,485.0,535,-180.0
436,486.0,536,-185.0
437,487.0,537,-180.5
438,488.0,538,-180.5
439,489.0,539,-185.0
440,490.0,540,-190.0
441,491.0,541,-185.0
442,492.0,542,-185.0
443,493.0,543,-180.5
444,494.0,544,-180.0
445,495.0,545,-185.0
446,496.0,546,-180.0
447,497.0,547,-185.0
448,498.0,548,-180.0
449,499.0,549,-180.0
450,500.0,550,-181.0
451,501.0,551,-180.0
452,502.0,552,-180.0
453,503.0,553,-181.0
454,504.0,554,-181.0
455,505.0,555,-185.5
456,506.0,556,-185.5
457,507.0,557,-185.0
458,508.0,558,-181.0
459,509.0,559,-185.0
460,510.0,560,-181.0
461,511.0,561,-181.0
462,512.0,562,-186.0
463,513.0,563,-181.0
464,514.0,564,-186.0
465,515.0,565,-186.0
466,516.0,566,-186.0
467,517.0,567,-190.0
468,518.0,568,-185.5
469,519.0,569,-190.0
470,520.0,570,-190.0
471,521.0,571,-195.0
472,522.0,572,-195.0
473,523.0,573,-190.0
474,524.0,574,-185.0
475,525.0,575,-185.0
476,526.0,576,-190.0
477,527.0,577,-190.0
478,528.0,578,-190.0
479,529.0,579,-190.0
480,530.0,580,-190.5
481,531.0,581,-195.0
